customer_id,recency,frequency,monetary,cluster,segment,customer_name,region,customer_type
CUST-00001,31,18,24832.649999999998,0,Champions,Allison Hill,West,Home Office
CUST-00002,23,17,26447.510000000002,0,Champions,Brian Yang,Central,Corporate
CUST-00003,82,15,10096.54,1,Occasional / Low-Value,Javier Johnson,East,Consumer
CUST-00004,30,11,6940.38,1,Occasional / Low-Value,Lance Hoffman,Central,Corporate
CUST-00005,27,11,12212.92,1,Occasional / Low-Value,Kimberly Robinson,Central,Home Office
CUST-00006,38,14,16459.0,2,Loyal Customers,Sean Blake,South,Consumer
CUST-00007,9,14,15973.11,2,Loyal Customers,Gina Moore,North,Consumer
CUST-00008,2,14,14091.37,1,Occasional / Low-Value,Brandon Davis,Central,Consumer
CUST-00009,30,11,13774.99,1,Occasional / Low-Value,Dennis Williams,East,Corporate
CUST-00010,33,15,17324.25,2,Loyal Customers,Valerie Gray,West,Home Office
CUST-00011,37,17,21317.05,2,Loyal Customers,Mark Mcclure,East,Consumer
CUST-00012,9,10,11098.11,1,Occasional / Low-Value,Michele Williams,North,Consumer
CUST-00013,4,9,11388.53,1,Occasional / Low-Value,Victoria Wyatt,Central,Consumer
CUST-00014,19,19,21785.57,0,Champions,Donald Reid,West,Home Office
CUST-00015,3,14,15615.32,2,Loyal Customers,Henry Santiago,South,Consumer
CUST-00016,101,17,12552.4,3,At Risk,Maria Lynch,Central,Consumer
CUST-00017,51,20,20063.28,0,Champions,Danielle Ford,West,Consumer
CUST-00018,12,15,22090.1,2,Loyal Customers,Margaret Hawkins DDS,East,Home Office
CUST-00019,166,8,7651.63,3,At Risk,Amy Underwood,South,Corporate
CUST-00020,33,13,16043.28,1,Occasional / Low-Value,Derek Clark,South,Corporate
CUST-00021,19,20,21587.78,0,Champions,Emily Rios,South,Corporate
CUST-00022,98,18,22922.3,0,Champions,Maria Thomas,South,Home Office
CUST-00023,23,17,22563.67,2,Loyal Customers,Justin Baker,West,Consumer
CUST-00024,23,14,26834.11,2,Loyal Customers,Kevin Cox,Central,Consumer
CUST-00025,36,13,17626.2,2,Loyal Customers,Ann Williams,Central,Corporate
CUST-00026,58,9,9011.79,1,Occasional / Low-Value,Christopher Becker,West,Corporate
CUST-00027,90,16,17406.25,2,Loyal Customers,James Ferrell,North,Consumer
CUST-00028,45,13,12289.6,1,Occasional / Low-Value,Juan Dunlap,North,Consumer
CUST-00029,62,13,10362.91,1,Occasional / Low-Value,Melanie Herrera,North,Consumer
CUST-00030,36,19,23252.86,0,Champions,Gina Carter,East,Consumer
CUST-00031,28,15,23292.06,2,Loyal Customers,Troy Liu,East,Corporate
CUST-00032,98,15,25053.79,2,Loyal Customers,Pamela Romero,Central,Home Office
CUST-00033,28,17,20070.260000000002,2,Loyal Customers,Elizabeth Fowler,North,Home Office
CUST-00034,85,12,14711.28,1,Occasional / Low-Value,James Martin,West,Consumer
CUST-00035,5,17,19685.78,2,Loyal Customers,Tamara George,Central,Corporate
CUST-00036,76,21,27439.38,0,Champions,Timothy Koch,East,Corporate
CUST-00037,54,14,13359.14,1,Occasional / Low-Value,Cynthia Allen,Central,Home Office
CUST-00038,29,16,17767.87,2,Loyal Customers,Angelica Tucker,North,Corporate
CUST-00039,174,11,13941.52,3,At Risk,Kim Martinez,East,Consumer
CUST-00040,25,11,11250.67,1,Occasional / Low-Value,Joshua Baker,South,Consumer
CUST-00041,34,10,14879.45,1,Occasional / Low-Value,Tracey Hickman,East,Consumer
CUST-00042,26,14,16440.18,2,Loyal Customers,Christina Collins,North,Consumer
CUST-00043,71,15,17620.41,2,Loyal Customers,Jessica Holmes,West,Home Office
CUST-00044,34,13,19307.78,2,Loyal Customers,Austin Smith,Central,Consumer
CUST-00045,8,18,23622.6,0,Champions,Daniel Jones,West,Home Office
CUST-00046,29,18,18927.61,2,Loyal Customers,Austin Johnson,East,Corporate
CUST-00047,1,24,23721.6,0,Champions,David Caldwell,South,Corporate
CUST-00048,36,11,13119.8,1,Occasional / Low-Value,Miranda Khan,North,Consumer
CUST-00049,25,14,18788.62,2,Loyal Customers,Richard Aguirre,West,Consumer
CUST-00050,85,6,7295.26,1,Occasional / Low-Value,Matthew Gomez,East,Consumer
CUST-00051,8,13,25644.84,2,Loyal Customers,Nicholas Nunez,West,Consumer
CUST-00052,94,20,20454.11,0,Champions,James Morgan,North,Consumer
CUST-00053,14,18,28601.05,0,Champions,Corey Herrera,North,Corporate
CUST-00054,8,15,18331.04,2,Loyal Customers,Donald Wright,East,Consumer
CUST-00055,221,8,13343.51,3,At Risk,Robert Chase,East,Consumer
CUST-00056,8,12,16222.619999999999,1,Occasional / Low-Value,Zachary Huff,North,Consumer
CUST-00057,77,19,20622.14,0,Champions,Sarah Martin,East,Consumer
CUST-00058,22,15,20256.24,2,Loyal Customers,Dr. Steven Martin,North,Consumer
CUST-00059,39,11,10382.0,1,Occasional / Low-Value,Mrs. Rachel Gibson,North,Consumer
CUST-00060,225,13,17387.1,3,At Risk,Monica Logan,South,Corporate
CUST-00061,51,13,11978.74,1,Occasional / Low-Value,Brittney Phillips,North,Home Office
CUST-00062,13,11,19305.67,2,Loyal Customers,Kimberly Adkins,North,Home Office
CUST-00063,19,18,34887.93,0,Champions,John Calhoun,Central,Consumer
CUST-00064,16,12,16632.04,1,Occasional / Low-Value,Tyler Miller,East,Corporate
CUST-00065,20,16,21802.899999999998,2,Loyal Customers,Barry Hensley,West,Consumer
CUST-00066,164,9,12849.6,3,At Risk,Steve Sanchez,West,Consumer
CUST-00067,68,11,11385.39,1,Occasional / Low-Value,Bradley Sandoval,East,Consumer
CUST-00068,8,19,18810.84,2,Loyal Customers,Taylor Harris,Central,Corporate
CUST-00069,45,12,12116.45,1,Occasional / Low-Value,Derek Anderson,East,Corporate
CUST-00070,24,12,17006.18,1,Occasional / Low-Value,Eugene Walton,North,Consumer
CUST-00071,7,13,12976.640000000001,1,Occasional / Low-Value,Marc Hart,Central,Home Office
CUST-00072,44,18,14501.13,2,Loyal Customers,Daniel Baker,West,Consumer
CUST-00073,29,13,15710.11,1,Occasional / Low-Value,Benjamin Sanchez,East,Consumer
CUST-00074,70,10,11650.85,1,Occasional / Low-Value,Roy Warner,West,Home Office
CUST-00075,1,15,15504.18,2,Loyal Customers,Dr. Kendra Contreras,South,Corporate
CUST-00076,25,14,7445.530000000001,1,Occasional / Low-Value,Matthew Mcmillan,West,Corporate
CUST-00077,7,15,15607.94,2,Loyal Customers,Steve Newton,South,Consumer
CUST-00078,54,8,4792.65,1,Occasional / Low-Value,Larry Robbins,South,Home Office
CUST-00079,54,16,21015.05,2,Loyal Customers,Sarah Wagner,West,Consumer
CUST-00080,184,8,10009.37,3,At Risk,Sarah Davis,West,Corporate
CUST-00081,41,19,13299.97,2,Loyal Customers,Amanda Cook,East,Consumer
CUST-00082,10,17,16096.460000000001,2,Loyal Customers,Deborah Figueroa,East,Corporate
CUST-00083,17,14,12156.74,1,Occasional / Low-Value,Kristina Rodriguez,East,Home Office
CUST-00084,10,17,16765.27,2,Loyal Customers,Brittany Johnson,North,Corporate
CUST-00085,227,7,5878.290000000001,3,At Risk,Brittany Anderson,North,Consumer
CUST-00086,29,14,20342.08,2,Loyal Customers,Timothy Stanton,West,Corporate
CUST-00087,1,17,23149.86,0,Champions,Christine Wright,North,Corporate
CUST-00088,23,15,14368.84,2,Loyal Customers,Justin Baxter,South,Consumer
CUST-00089,9,25,28206.149999999998,0,Champions,Tammy Young,South,Corporate
CUST-00090,1,16,16677.16,2,Loyal Customers,Rita Keith,Central,Consumer
CUST-00091,43,14,12245.2,1,Occasional / Low-Value,Tim Patton,West,Consumer
CUST-00092,36,13,11338.5,1,Occasional / Low-Value,Sharon Cochran,West,Consumer
