customer_id,customer_name,segment,region,state,signup_date
CUST-00001,Allison Hill,Home Office,West,Rajasthan,2024-01-15
CUST-00002,Brian Yang,Corporate,Central,Chhattisgarh,2024-09-21
CUST-00003,Javier Johnson,Consumer,East,Bihar,2024-01-11
CUST-00004,Lance Hoffman,Corporate,Central,Uttar Pradesh,2025-02-01
CUST-00005,Kimberly Robinson,Home Office,Central,Chhattisgarh,2024-10-25
CUST-00006,Sean Blake,Consumer,South,Karnataka,2023-11-27
CUST-00007,Gina Moore,Consumer,North,Punjab,2025-03-10
CUST-00008,Brandon Davis,Consumer,Central,Madhya Pradesh,2025-05-14
CUST-00009,Dennis Williams,Corporate,East,Odisha,2024-07-16
CUST-00010,Valerie Gray,Home Office,West,Rajasthan,2024-09-26
CUST-00011,Mark Mcclure,Consumer,East,Jharkhand,2024-05-01
CUST-00012,Michele Williams,Consumer,North,Haryana,2024-01-19
CUST-00013,Victoria Wyatt,Consumer,Central,Chhattisgarh,2025-05-29
CUST-00014,Donald Reid,Home Office,West,Gujarat,2024-05-04
CUST-00015,Henry Santiago,Consumer,South,Tamil Nadu,2025-01-21
CUST-00016,Maria Lynch,Consumer,Central,Uttar Pradesh,2023-12-05
CUST-00017,Danielle Ford,Consumer,West,Maharashtra,2024-02-20
CUST-00018,Margaret Hawkins DDS,Home Office,East,Jharkhand,2025-05-10
CUST-00019,Amy Underwood,Corporate,South,Tamil Nadu,2025-04-11
CUST-00020,Derek Clark,Corporate,South,Karnataka,2024-10-08
CUST-00021,Emily Rios,Corporate,South,Tamil Nadu,2024-05-28
CUST-00022,Maria Thomas,Home Office,South,Tamil Nadu,2023-11-11
CUST-00023,Justin Baker,Consumer,West,Goa,2024-10-22
CUST-00024,Kevin Cox,Consumer,Central,Chhattisgarh,2023-11-10
CUST-00025,Ann Williams,Corporate,Central,Madhya Pradesh,2023-10-19
CUST-00026,Christopher Becker,Corporate,West,Maharashtra,2024-10-31
CUST-00027,James Ferrell,Consumer,North,Delhi,2024-09-08
CUST-00028,Juan Dunlap,Consumer,North,Delhi,2025-01-04
CUST-00029,Melanie Herrera,Consumer,North,Uttarakhand,2024-02-18
CUST-00030,Gina Carter,Consumer,East,Jharkhand,2023-11-25
CUST-00031,Troy Liu,Corporate,East,Bihar,2024-02-15
CUST-00032,Pamela Romero,Home Office,Central,Chhattisgarh,2023-10-16
CUST-00033,Elizabeth Fowler,Home Office,North,Delhi,2024-11-10
CUST-00034,James Martin,Consumer,West,Goa,2025-03-21
CUST-00035,Tamara George,Corporate,Central,Chhattisgarh,2024-08-08
CUST-00036,Timothy Koch,Corporate,East,Bihar,2025-05-01
CUST-00037,Cynthia Allen,Home Office,Central,Uttar Pradesh,2024-10-08
CUST-00038,Angelica Tucker,Corporate,North,Haryana,2023-09-17
CUST-00039,Kim Martinez,Consumer,East,Bihar,2024-12-19
CUST-00040,Joshua Baker,Consumer,South,Karnataka,2025-06-02
CUST-00041,Tracey Hickman,Consumer,East,Bihar,2025-03-03
CUST-00042,Christina Collins,Consumer,North,Uttarakhand,2024-12-28
CUST-00043,Jessica Holmes,Home Office,West,Rajasthan,2023-10-27
CUST-00044,Austin Smith,Consumer,Central,Madhya Pradesh,2024-09-28
CUST-00045,Daniel Jones,Home Office,West,Rajasthan,2024-11-27
CUST-00046,Austin Johnson,Corporate,East,Jharkhand,2024-04-07
CUST-00047,David Caldwell,Corporate,South,Tamil Nadu,2024-01-08
CUST-00048,Miranda Khan,Consumer,North,Uttarakhand,2024-10-15
CUST-00049,Richard Aguirre,Consumer,West,Goa,2023-12-20
CUST-00050,Matthew Gomez,Consumer,East,Bihar,2024-06-09
CUST-00051,Nicholas Nunez,Consumer,West,Gujarat,2024-12-08
CUST-00052,James Morgan,Consumer,North,Haryana,2025-05-25
CUST-00053,Corey Herrera,Corporate,North,Delhi,2023-11-11
CUST-00054,Donald Wright,Consumer,East,Jharkhand,2025-07-12
CUST-00055,Robert Chase,Consumer,East,West Bengal,2023-10-10
CUST-00056,Zachary Huff,Consumer,North,Uttarakhand,2023-10-06
CUST-00057,Sarah Martin,Consumer,East,Jharkhand,2024-08-06
CUST-00058,Dr. Steven Martin,Consumer,North,Punjab,2023-07-27
CUST-00059,Mrs. Rachel Gibson,Consumer,North,Uttarakhand,2024-06-18
CUST-00060,Monica Logan,Corporate,South,Karnataka,2024-12-21
CUST-00061,Brittney Phillips,Home Office,North,Haryana,2023-09-09
CUST-00062,Kimberly Adkins,Home Office,North,Uttarakhand,2023-09-08
CUST-00063,John Calhoun,Consumer,Central,Madhya Pradesh,2024-09-10
CUST-00064,Tyler Miller,Corporate,East,West Bengal,2023-12-17
CUST-00065,Barry Hensley,Consumer,West,Gujarat,2024-06-03
CUST-00066,Steve Sanchez,Consumer,West,Goa,2024-10-29
CUST-00067,Bradley Sandoval,Consumer,East,Odisha,2024-10-07
CUST-00068,Taylor Harris,Corporate,Central,Chhattisgarh,2025-02-01
CUST-00069,Derek Anderson,Corporate,East,Jharkhand,2024-12-08
CUST-00070,Eugene Walton,Consumer,North,Haryana,2023-09-20
CUST-00071,Marc Hart,Home Office,Central,Uttar Pradesh,2023-10-11
CUST-00072,Daniel Baker,Consumer,West,Rajasthan,2025-07-19
CUST-00073,Benjamin Sanchez,Consumer,East,Bihar,2024-03-03
CUST-00074,Roy Warner,Home Office,West,Goa,2024-11-12
CUST-00075,Dr. Kendra Contreras,Corporate,South,Kerala,2024-09-28
CUST-00076,Matthew Mcmillan,Corporate,West,Gujarat,2023-11-07
CUST-00077,Steve Newton,Consumer,South,Andhra Pradesh,2023-11-23
CUST-00078,Larry Robbins,Home Office,South,Andhra Pradesh,2023-12-31
CUST-00079,Sarah Wagner,Consumer,West,Maharashtra,2024-02-06
CUST-00080,Sarah Davis,Corporate,West,Goa,2024-06-19
CUST-00081,Amanda Cook,Consumer,East,West Bengal,2023-11-04
CUST-00082,Deborah Figueroa,Corporate,East,Jharkhand,2024-09-26
CUST-00083,Kristina Rodriguez,Home Office,East,Odisha,2025-06-10
CUST-00084,Brittany Johnson,Corporate,North,Haryana,2024-05-07
CUST-00085,Brittany Anderson,Consumer,North,Punjab,2024-03-21
